ESTAR: Stopping Powers and Range Tables for Electrons

BORON                                                                    

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 1.875E+01 
1.250E-02 1.577E+01 
1.500E-02 1.369E+01 
1.750E-02 1.214E+01 
2.000E-02 1.095E+01 
2.500E-02 9.223E+00 
3.000E-02 8.025E+00 
3.500E-02 7.143E+00 
4.000E-02 6.465E+00 
4.500E-02 5.927E+00 
5.000E-02 5.489E+00 
5.500E-02 5.125E+00 
6.000E-02 4.818E+00 
7.000E-02 4.327E+00 
8.000E-02 3.952E+00 
9.000E-02 3.656E+00 
1.000E-01 3.417E+00 
1.250E-01 2.980E+00 
1.500E-01 2.684E+00 
1.750E-01 2.471E+00 
2.000E-01 2.310E+00 
2.500E-01 2.087E+00 
3.000E-01 1.940E+00 
3.500E-01 1.837E+00 
4.000E-01 1.761E+00 
4.500E-01 1.705E+00 
5.000E-01 1.661E+00 
5.500E-01 1.627E+00 
6.000E-01 1.600E+00 
7.000E-01 1.560E+00 
8.000E-01 1.534E+00 
9.000E-01 1.516E+00 
1.000E+00 1.504E+00 
1.250E+00 1.489E+00 
1.500E+00 1.486E+00 
1.750E+00 1.489E+00 
2.000E+00 1.495E+00 
2.500E+00 1.511E+00 
3.000E+00 1.529E+00 
3.500E+00 1.547E+00 
4.000E+00 1.564E+00 
4.500E+00 1.581E+00 
5.000E+00 1.597E+00 
5.500E+00 1.613E+00 
6.000E+00 1.628E+00 
7.000E+00 1.656E+00 
8.000E+00 1.682E+00 
9.000E+00 1.707E+00 
1.000E+01 1.731E+00 
1.250E+01 1.787E+00 
1.500E+01 1.840E+00 
1.750E+01 1.891E+00 
2.000E+01 1.941E+00 
2.500E+01 2.039E+00 
3.000E+01 2.134E+00 
3.500E+01 2.228E+00 
4.000E+01 2.322E+00 
4.500E+01 2.415E+00 
5.000E+01 2.508E+00 
5.500E+01 2.600E+00 
6.000E+01 2.692E+00 
7.000E+01 2.877E+00 
8.000E+01 3.061E+00 
9.000E+01 3.245E+00 
1.000E+02 3.429E+00 
1.250E+02 3.890E+00 
1.500E+02 4.351E+00 
1.750E+02 4.812E+00 
2.000E+02 5.274E+00 
2.500E+02 6.200E+00 
3.000E+02 7.127E+00 
3.500E+02 8.056E+00 
4.000E+02 8.985E+00 
4.500E+02 9.916E+00 
5.000E+02 1.085E+01 
5.500E+02 1.178E+01 
6.000E+02 1.271E+01 
7.000E+02 1.458E+01 
8.000E+02 1.645E+01 
9.000E+02 1.832E+01 
1.000E+03 2.019E+01 
